id,btc_to_usd_rate,eth_to_usd_rate,ltc_to_usd_rate,data_date,ts
443,10783.36,364.05,48.32,16/9/2020,16:51.1
444,10943.99,389.52,48.88,18/9/2020,16:51.1
445,10957.06,365.22,47.65,17/9/2020,16:51.7
446,10355,340.36,42.77,22/9/2020,16:52.5
447,10937.5,384.6,48.55,19/9/2020,16:52.9
448,11081.37,385.31,48.49,20/9/2020,16:52.9
449,10920.94,371.03,47.1,21/9/2020,16:52.9
450,10531.13,344.25,44.49,23/9/2020,16:53.2
451,10690.53,352.12,46.04,26/9/2020,16:53.5
452,10237.41,320.65,42.97,24/9/2020,16:53.5
453,10740,349.14,44.94,25/9/2020,16:54.2
454,10730,354.01,46.08,27/9/2020,16:54.4
455,10779,357.53,46.1,28/9/2020,16:54.5
456,10779.63,360.01,46.33,1/10/2020,17:23.2
457,10694.9,353.68,45.2,29/9/2020,17:23.2
458,10573.12,345.74,44.94,3/10/2020,17:23.3
459,10847,359.93,45.67,30/9/2020,17:23.3
460,10670.01,352.42,46.68,5/10/2020,17:25.2
461,10601.2,340.8,45.95,7/10/2020,17:25.2
462,10550.32,346.18,45.59,4/10/2020,17:25.2
463,10616.35,352.84,46.15,2/10/2020,17:25.3
464,10800,355.33,46.35,6/10/2020,17:25.8
465,10670.47,341.7,46.56,8/10/2020,17:26.3
466,10932.44,351.17,47.25,9/10/2020,17:27.4
467,11055.75,365.02,47.82,10/10/2020,17:27.4
468,11374.01,374.37,50.47,12/10/2020,17:27.6
469,11299.52,370.73,48.86,11/10/2020,17:27.6
470,11535.46,387.88,50.72,13/10/2020,17:27.6
471,11428.22,381.37,49.97,14/10/2020,17:28.5
472,11427.7,379.01,49.81,15/10/2020,17:50.7
473,11514.2,378.56,47.58,19/10/2020,17:51.8
474,11509.31,377.89,49.55,16/10/2020,17:52.3
475,11760.45,379.53,48.01,20/10/2020,17:52.3
476,11328.27,365.57,47.67,17/10/2020,17:52.4
477,12808.01,391.33,53.09,22/10/2020,17:52.9
478,12938,409.55,55.45,24/10/2020,17:53.4
479,11900.01,368.81,46.9,21/10/2020,17:53.8
480,12988.2,414.64,54.42,23/10/2020,17:53.8
481,11367.9,368.48,46.81,18/10/2020,17:54.2
482,13126.34,412.58,59.18,25/10/2020,17:54.3
483,13045.02,406.32,58.88,26/10/2020,17:54.5
484,13061.28,393.07,56.83,27/10/2020,17:54.7
485,13460,387.49,54.93,30/10/2020,17:56.0
486,13281.06,388.59,55.84,29/10/2020,17:56.0
487,13740.85,404.56,57.81,28/10/2020,17:56.0
488,13771.7,396.91,55.67,2/11/2020,18:22.2
489,13563.22,383.33,53.85,3/11/2020,18:22.3
490,13803.69,386.72,55.71,1/11/2020,18:22.3
491,14165.86,403.19,54.77,5/11/2020,18:22.6
492,14034.35,388.33,54.08,4/11/2020,18:22.7
